codigo	nombre	regimen	cod_parr	provincia	canton	parroquia
104	CENTRO EDUCATIVO HUITO	SIERRA	160451	PASTAZA	ARAJUNO	CURARAY
108	13 DE JUNIO	SIERRA	010157	AZUAY	CUENCA	MOLLETURO
112	ANTONIO NEUMANE	COSTA	010852	AZUAY	SANTA ISABEL	EL CARMEN DE PIJILI
113	19 DE MARZO	SIERRA	010157	AZUAY	CUENCA	MOLLETURO
116	26 DE NOVIEMBRE	COSTA	010852	AZUAY	SANTA ISABEL	EL CARMEN DE PIJILI
117	19 DE JULIO	COSTA	010157	AZUAY	CUENCA	MOLLETURO
123	C. EDUC. ESCPECIAL MONS. LUNA TOBAR	COSTA	010801	AZUAY	SANTA ISABEL	SANTA ISABEL
124	INST. DE EDUCACION ESPECIAL	SIERRA	010301	AZUAY	GUALACEO	GUALACEO
129	SIN NOMBRE - CERCA PATA	COSTA	030701	CAÑAR	SUSCAL	SUSCAL
133	PLANTEL CENTRAL PUSIR GRANDE	SIERRA	040254	CARCHI	BOLIVAR	SAN VICENTE DE PUSIR
134	ESCUELA ESPECIAL	SIERRA	040102	CARCHI	TULCAN	TULCAN
141	SAN RAFAEL	SIERRA	060104	CHIMBORAZO	RIOBAMBA	VELOZ
142	MERCEDES DE JESUS MOLINA	SIERRA	060104	CHIMBORAZO	RIOBAMBA	VELOZ
144	INSTITUTO DE EDUCACION ESPECIAL	SIERRA	100103	IMBABURA	IBARRA	SAGRARIO
147	ANDRES MAMALLACTA	SIERRA	230601	ORELLANA	ORELLANA	PTO.FCO.DE ORELLANA
169	SIN NOMBRE - CHUYAYACU	SIERRA	160159	PASTAZA	PASTAZA	RIO TIGRE
170	SIN NOMBRE - TARAPOTO	SIERRA	160161	PASTAZA	PASTAZA	SARAYACU
171	ATACAPI	SIERRA	160152	PASTAZA	PASTAZA	CANELOS
178	VENCEDORES	SIERRA	160163	PASTAZA	PASTAZA	TARQUI
182	CESAR YUMA	SIERRA	160162	PASTAZA	PASTAZA	SIMON BOLIVAR
190	ESC. ESP. SOR EUGENIA MOSCOSO	COSTA	071003	EL ORO	PIÑAS	PIÑAS GRANDES
192	SIN NOMBRE - BELLA AURORA	COSTA	080253	ESMERALDAS	ELOY ALFARO	BORBON
193	JOAQUIN ESTUPINAN	COSTA	080256	ESMERALDAS	ELOY ALFARO	MALDONADO
194	ROSARIO MORA DE ARROYO	COSTA	080166	ESMERALDAS	ESMERALDAS	TACHINA
195	SIMON BOLIVAR	COSTA	080753	ESMERALDAS	RIO VERDE	LAGARTO
197	EDUARDO GRANJA GARCES	COSTA	080152	ESMERALDAS	ESMERALDAS	CAMARONES
200	BELIZARIO QUEVEDO	COSTA	080651	ESMERALDAS	ATACAMES	LA UNION
202	GASTON FIGUEIRA	COSTA	080259	ESMERALDAS	ELOY ALFARO	STO.DOMINGO DE ONZOL
203	CRISTOBAL COLON	COSTA	080252	ESMERALDAS	ELOY ALFARO	ATAHUALPA
204	PROVINCIA DEL CANAR	COSTA	080252	ESMERALDAS	ELOY ALFARO	ATAHUALPA
205	CIUDAD DE MACAS	COSTA	080252	ESMERALDAS	ELOY ALFARO	ATAHUALPA
207	GENERAL JULIO ANDRADE	COSTA	080559	ESMERALDAS	SAN LORENZO	SANTA RITA
208	ALBERTO GUERRERO	COSTA	080455	ESMERALDAS	QUININDE	LA UNION
209	CALICUCHIMA	COSTA	080261	ESMERALDAS	ELOY ALFARO	TELEMBI
211	24 DE MAYO	COSTA	090401	GUAYAS	BALZAR	BALZAR
212	CIUDAD DE GUAYAQUIL	COSTA	090501	GUAYAS	COLIMES	COLIMES
213	ADOLFO JURADO GONZALEZ	COSTA	090501	GUAYAS	COLIMES	COLIMES
214	ASAAD BUCARAM	COSTA	091201	GUAYAS	NARANJITO	NARANJITO
215	EUGENIO ESPEJO	COSTA	091651	GUAYAS	SAMBORONDON	TARIFA
216	24 DE MAYO	COSTA	091752	GUAYAS	SANTA ELENA	COLONCHE
217	JOSE MARIA VELASCO IBARRA	COSTA	091752	GUAYAS	SANTA ELENA	COLONCHE
218	SIMON BOLIVAR NO.10	COSTA	091951	GUAYAS	URBINA JADO	GRAL.VERNAZA(S.MATEO
220	RIO GUAYAS	COSTA	092301	GUAYAS	CRNEL.MARC.MARIDUEÑA	CRNEL.MARC.MARIDUEÑA
221	ING. MANUEL SOLIS ORTEGA	COSTA	092301	GUAYAS	CRNEL.MARC.MARIDUEÑA	CRNEL.MARC.MARIDUEÑA
222	LUZ DE AMERICA	COSTA	090157	GUAYAS	GUAYAQUIL	PUNA
223	SIN NOMBRE	COSTA	090157	GUAYAS	GUAYAQUIL	PUNA
227	DR. ALFONSO AGUIRRE	SIERRA	110157	LOJA	LOJA	SAN LUCAS
229	CISOL (PROGRAMA NI¥O TRABAJADOR)	SIERRA	110301	LOJA	CATAMAYO	CATAMAYO
236	ESPECIAL AYUDANOS A EMPEZAR	COSTA	120102	LOS RIOS	BABAHOYO	DR. CAMILO PONCE E.
237	ESPECIAL DE MONTALVO	COSTA	120301	LOS RIOS	MONTALVO	MONTALVO
238	ESPECIAL DE PUEBLO VIEJO	COSTA	120401	LOS RIOS	PUEBLOVIEJO	PUEBLOVIEJO
239	ESPECIAL NUESTRA SEÑORA DEL CARMEN	COSTA	120601	LOS RIOS	URDANETA	CATARAMA
240	ESPECIAL ALBA SALAZAR DE AVILES	COSTA	120801	LOS RIOS	VINCES	VINCES
243	SIN NOMBRE - CANAVERAL	COSTA	131751	MANABI	PEDERNALES	COJIMIES
247	5 DE JUNIO	COSTA	131051	MANABI	PAJAN	CAMPOZANO
248	ANIBAL M. PADILLA TUMBACO	COSTA	130652	MANABI	JIPIJAPA	EL ANEGADO
250	ESPECIAL MARIA BUITRON DE SUMARRAGA	COSTA	130103	MANABI	PORTOVIEJO	12 DE MARZO
252	JUNTOS VENCEREMOS	COSTA	130301	MANABI	CHONE	CHONE
253	YAMIL DOUMET SEPAK(ESPECIAL)	COSTA	130201	MANABI	BOLIVAR	CALCETA
254	ANA LUZ SOLIS	COSTA	130601	MANABI	JIPIJAPA	JIPIJAPA
255	NINO JESUS DE PRAGA	COSTA	131301	MANABI	SANTA ANA	SANTA ANA
260	RIO YUQUIPA	SIERRA	140157	MORONA SANTIAGO	MORONA	SEVILLA DON BOSCO
283	ESCUELA DE EDUC. ESPECIAL	SIERRA	140201	MORONA SANTIAGO	GUALAQUIZA	GUALAQUIZA
290	SOR HERMELINDA SOLIS	SIERRA	140157	MORONA SANTIAGO	MORONA	SEVILLA DON BOSCO
293	ESTACION TERRENA	SIERRA	170156	PICHINCHA	QUITO	CONOCOTO
299	HOGAR SAN FRANCISCO	SIERRA	170116	PICHINCHA	QUITO	SAN SEBASTIAN
300	HOGAR MADRE FLORA PALETA	SIERRA	170103	PICHINCHA	QUITO	COTOCOLLAO
301	HOGAR REINA DE LA PAZ	SIERRA	170114	PICHINCHA	QUITO	SAN MARCOS
302	FUND.DESARROLLO Y BIENESTAR DEL POLICIA	SIERRA	170111	PICHINCHA	QUITO	LA MAGDALENA
317	ANDRES F CORDOVA	SIERRA	190102	ZAMORA CHINCHIPE	ZAMORA	ZAMORA
330	KALIKUCHIMA	SIERRA	210351	SUCUMBIOS	PUTUMAYO	PALMA ROJA
334	GRAL. CARLOMAGNO ANDRADE	SIERRA	060151	CHIMBORAZO	RIOBAMBA	CACHA
