CODIGO	NOMBRE	PROV	CAN	PARR	SOSTENIM	NIVEL
1000	LEOPOLDO N CHAVEZ	4	1	02	1	1
1003	CARLOS MANTILLA ORTEGA	10	1	02	1	1
1004	JUAN FEDERICO HEINERT DR. # 47	9	1	01	1	1
1006	JULIO MARTINEZ ACOSTA	4	1	02	1	1
1007	AZAYA	10	1	02	1	1
1008	GABRIELA MISTRAL	4	1	02	1	1
1009	CENTRO ESCOLAR 9 DE OCTUBRE # 81	9	1	01	1	1
1010	BENJAMIN CARRION	17	1	52	1	1
1011	FILADELFIA # 68	9	1	01	4	1
1012	JOSE JOAQUIN OLMEDO	4	1	02	1	1
1013	EL NUEVO LUCIANO DE QUITO	17	1	21	1	1
1014	AVELINA LASSO DE PLAZA	10	1	01	1	1
1015	CARLOS BENJAMIN ROSALES	17	1	21	1	1
1016	SANTA MARIANA DE JESUS # 102	9	1	01	4	1
1017	LUIS ROSERO NAVARRETE	4	1	01	1	1
1018	MARIA MONTESSORI	10	1	03	1	1
1019	ISOLINA VITERI DE ARREGUI	17	1	21	1	1
1021	CRISTO REY	4	1	02	4	1
1022	REPUBLICA DE GUATEMALA	17	1	21	1	1
1023	POLLITOS # 204	9	1	01	5	1
1024	U.N.E.	10	1	03	1	1
1026	CASA DE LA CULTURA ECUATORIANA	17	1	21	1	1
1027	GONZALO LLONA  # 45	9	1	03	1	1
1028	PIEDAD GOMEZJURADO	10	1	03	1	1
1029	TOMAS TADEU	17	3	01	5	1
1030	CARLOS LUIS PLAZA DAÑIN # 58	9	1	03	1	1
1031	SAGRADO CORAZON DE JESUS	4	1	01	4	1
1033	GRAN BRETAÑA	17	1	22	1	1
1034	FE Y ALEGRIA	4	1	01	4	1
1035	DR. CAMILO GALLEGOS	10	1	04	1	1
1036	SEMILLERO # 19	9	1	03	5	1
1038	JOSE MARIA VELASCO IBARRA	4	1	01	1	1
1039	LAURA VICUÑA # 11	9	1	03	4	1
1040	LIDIA INES MOLINA	10	1	05	1	1
1041	MARIA AUXILIADORA  # 237	9	1	03	4	1
1042	27 DE MARZO	4	1	51	1	1
1044	ROSA MATILDE PALACIOS CASTELO	10	1	03	1	1
1045	PERLA DEL PACIFICO  # 13	9	1	04	1	1
1046	ALBERTINA FRANCO DE LEORO	10	1	04	1	1
1047	PRIMERO DE JUNIO	4	6	01	1	1
1049	JORGE GUZMAN RUEDA	10	1	04	1	1
1050	ISABEL RAMIREZ ESTRADA # 14	9	1	04	1	1
1052	LUCINDA TOLEDO	17	1	18	1	1
1053	RAFAEL SUAREZ MENESES	10	1	04	1	1
1054	MARIA BORJA	4	1	53	1	1
1055	HUMBERTO SALVADOR GUERRA # 19	9	1	04	1	1
1056	MARIA ANGELICA CARRILLO	17	1	20	1	1
1057	SEMILLITAS DE AMOR	10	1	04	1	1
1058	HUAYNA CAPAC  # 20	9	1	04	1	1
1059	BANCO ECUATORIANO DE LA VIVIENDA	17	1	27	1	1
1060	6 DE ABRIL	4	1	54	1	1
1061	LEONARDO AULESTIA # 34	9	1	04	1	1
1064	AGUSTIN VERA LOOR # 42	9	1	04	1	1
1065	SANTA ROSA DEL TEJAR	10	1	04	1	1
1066	LOS RIOS	4	1	57	1	1
1067	CARLOTA JARAMILLO DE ARAUJO	17	1	20	1	1
