id_seq	ubicacion	nombre_normalizado	codigo_escuela
1	160451	CENTRO EDUCATIVO HUITO	104
2	010157	13 DE JUNIO	108
3	010852	ANTONIO NEUMANE	112
4	010157	19 DE MARZO	113
5	010852	26 DE NOVIEMBRE	116
6	010157	19 DE JULIO	117
7	010801	C. EDUC. ESCPECIAL MONS. LUNA TOBAR	123
8	010301	INST. DE EDUCACION ESPECIAL	124
9	030701	SIN NOMBRE - CERCA PATA	129
10	040254	PLANTEL CENTRAL PUSIR GRANDE	133
11	040102	ESCUELA ESPECIAL	134
12	060104	SAN RAFAEL	141
13	060104	MERCEDES DE JESUS MOLINA	142
14	100103	INSTITUTO DE EDUCACION ESPECIAL	144
15	230601	ANDRES MAMALLACTA	147
16	160159	SIN NOMBRE - CHUYAYACU	169
17	160161	SIN NOMBRE - TARAPOTO	170
18	160152	ATACAPI	171
19	160163	VENCEDORES	178
20	160162	CESAR YUMA	182
21	071003	ESC. ESP. SOR EUGENIA MOSCOSO	190
22	080253	SIN NOMBRE - BELLA AURORA	192
23	080256	JOAQUIN ESTUPINAN	193
24	080166	ROSARIO MORA DE ARROYO	194
25	080753	SIMON BOLIVAR	195
26	080152	EDUARDO GRANJA GARCES	197
27	080651	BELIZARIO QUEVEDO	200
28	080259	GASTON FIGUEIRA	202
29	080252	CRISTOBAL COLON	203
30	080252	PROVINCIA DEL CANAR	204
31	080252	CIUDAD DE MACAS	205
32	080559	GENERAL JULIO ANDRADE	207
33	080455	ALBERTO GUERRERO	208
34	080261	CALICUCHIMA	209
35	090401	24 DE MAYO	211
36	090501	CIUDAD DE GUAYAQUIL	212
37	090501	ADOLFO JURADO GONZALEZ	213
38	091201	ASAAD BUCARAM	214
39	091651	EUGENIO ESPEJO	215
40	091752	24 DE MAYO	216
41	091752	JOSE MARIA VELASCO IBARRA	217
42	091951	SIMON BOLIVAR NO.10	218
43	092301	RIO GUAYAS	220
44	092301	ING. MANUEL SOLIS ORTEGA	221
45	090157	LUZ DE AMERICA	222
46	090157	SIN NOMBRE	223
47	110157	DR. ALFONSO AGUIRRE	227
48	110301	CISOL (PROGRAMA NI¥O TRABAJADOR)	229
49	120102	ESPECIAL AYUDANOS A EMPEZAR	236
50	120301	ESPECIAL DE MONTALVO	237
51	120401	ESPECIAL DE PUEBLO VIEJO	238
52	120601	ESPECIAL NUESTRA SEÑORA DEL CARMEN	239
53	120801	ESPECIAL ALBA SALAZAR DE AVILES	240
54	131751	SIN NOMBRE - CANAVERAL	243
55	131051	5 DE JUNIO	247
56	130652	ANIBAL M. PADILLA TUMBACO	248
57	130103	ESPECIAL MARIA BUITRON DE SUMARRAGA	250
58	130301	JUNTOS VENCEREMOS	252
59	130201	YAMIL DOUMET SEPAK(ESPECIAL)	253
60	130601	ANA LUZ SOLIS	254
61	131301	NINO JESUS DE PRAGA	255
62	140157	RIO YUQUIPA	260
63	140201	ESCUELA DE EDUC. ESPECIAL	283
64	140157	SOR HERMELINDA SOLIS	290
65	170156	ESTACION TERRENA	293
66	170116	HOGAR SAN FRANCISCO	299
67	170103	HOGAR MADRE FLORA PALETA	300
68	170114	HOGAR REINA DE LA PAZ	301
69	170111	FUND.DESARROLLO Y BIENESTAR DEL POLICIA	302
70	190102	ANDRES F CORDOVA	317
71	210351	KALIKUCHIMA	330
72	060151	GRAL. CARLOMAGNO ANDRADE	334
73	080256	CARLOS AUZ	337
74	080261	AGUA BLANCA	338
75	092801	TIWINTZA	343
76	150155	IGNACIO REINALDO GREFA	362
77	150156	SAN CARLOS	373
78	150154	JAVIER TANGUILA	374
79	230851	SIN NOMBRE - SAN VICENTE	379
80	150101	MAXIMILIANO SPILLER	380
81	210301	SIN NOMBRE - MANSAYA 1	401
82	210601	HILARIO KIRIK	403
83	210601	CLEMENTE VARGAS G.	405
84	210453	SIN NOMBRE - LOS VENCEDORES	407
85	210452	SIN NOMBRE - CHONTA URKU	408
86	210601	KUYLLUR	409
87	140253	SIN NOMBRE - LA ORQUIDEA	418
88	111451	SIN NOMBRE (BARRIO CALLANCAS)	419
89	160162	UNID. EDUC. TSANTSA	421
90	020351	LA ESPERANZA	422
91	020401	ALFREDO BAQUERIZO	423
92	020157	GLADYS FLORES MACIAS	425
93	080168	ABDON CALDERON	427
94	060152	MODELO EDUCATIVO COMUNITARIO	428
