id_seq	ubicacion	nombre_normalizado	conteo	ids_escuela
1	010105	DANIEL CORDOVA TORAL	1	7060
2	010105	ISABEL MOSCOSO DAVILA	1	12674
3	010105	LUIS CORDERO CRESPO	1	10142
4	010105	MARY CORYLE	1	6316
5	010105	REPUBLICA DE CHILE	1	6312
6	010107	FE Y ALEGRIA	1	6341
7	010107	GABRIELA MISTRAL	1	7961
8	010107	HUAYNA-CAPAC	1	6350
9	010109	ANDRES F.CORDOVA	1	6356
10	010109	CATALINA GUERRERO	1	6355
11	010110	INST.ESP.STEPHEN HAWK	1	14656
12	010111	ANGELA RODRIGUEZ	1	11004
13	010111	IGNACIO MALO TAMARIZ	1	6380
14	010111	REINALDO CHICO GARCIA	1	6384
15	010111	ULISES CHACON	1	6378
16	010113	ABELARDO TAMARIZ CRESPO	1	6374
17	010114	A B C	1	6155
18	010114	FRANCISCA ARIZAGA TORAL	1	6376
19	010151	AGUSTIN CARRION HEREDIA	1	6421
20	010151	ALFONSO CARRION HEREDIA	1	6431
21	010151	CORNELIO CRESPO TORAL	1	6426
22	010151	ENRIQUETA CORDERO DAVILA	2	6174,6428
23	010151	JOEL MONROY	1	6432
24	010151	MEDARDO NEIRA GARZON	1	6424
25	010151	NARANCAY ALTO	1	12669
26	010151	SEGUNDO ESPINOSA CALLE	1	6423
27	010152	CARLOS TERAN ZENTENO	1	6433
28	010152	GABRIEL ARSENIO ULLAURI	1	6434
29	010152	JOSE EMILIANO (SAN LUIS DE TOTORILAS	1	12679
30	010152	JOSE MARIA CAMACARO	1	6437
31	010152	LOS ALAMOS	1	6439
32	010152	RAFAEL BURBANO	1	12609
33	010152	SOCIEDAD SAN FRANCISCO	1	6441
34	010153	17 DE FEBRERO	1	12645
35	010153	CESAR AVILES BRAVO	1	6467
36	010153	CORNELIO HIDALGO CASTRO	1	6465
37	010153	ECUADOR AMAZONICO	1	6459
38	010153	JUAN JOSE RAMOS	1	6462
39	010153	LEONCIO GALLEGOS SOLANO	1	6446
40	010153	MARIO VICENTE GOMEZ ULLAURI	1	6452
41	010153	SAN PEDRO	1	6471
42	010153	SIN NOMBRE DE SUCUS	1	11768
43	010153	SIN NOMBRE DE YUBAR POTRERO	1	12646
44	010153	TOMAS ABAD	1	6474
45	010154	ABELARDO J ANDRADE	1	6476
46	010154	HIPOLITO MORA	1	10232
47	010154	RAFAEL CORRAL MOSCOSO	1	6480
48	010155	ALFONSO CARRASCO	1	6484
49	010155	GERARDO CORDERO JARAMILLO	1	10233
50	010155	JILGUERITOS	1	10148
51	010155	ROBERTO ESPINOZA	1	6496
52	010155	VIRGILIO SALAZAR	1	6491
53	010156	ALFREDO H. MORA	1	6501
54	010156	ENRIQUE MALO ANDRADE	1	11005
55	010156	GONZALO S. CORDOVA	1	6505
56	010156	JOSE MARIA PACURUCU ORTEGA	1	6623
57	010156	MANUELA MOGROVEJO	1	6508
58	010156	MIGUEL DIAZ CUEVA	1	6513
59	010156	XAVIER MUÑOZ CHAVEZ	1	6514
60	010157	1 DE ENERO	1	7155
61	010157	1 DE MAYO	1	6543
