id_seq	ubicacion	nombre_normalizado	conteo	ids_escuela
1	010101	3 DE NOVIEMBRE	2	8085,8771
2	010101	ALBERTO ANDRADE ARIZAGA (BRUMEL)	1	8282
3	010101	BENJAMIN RAMIREZ ARTEAGA	1	8278
4	010101	EDWIN SACOTO LARRIVA	1	14005
5	010101	FEDERICO PROAÑO	1	8316
6	010101	FRANCISCA DAVILA	1	14004
7	010101	FRANCISCA DAVILA DE MUÑOZ	1	8076
8	010101	FRANCISCO TAMARIZ VALDIVIESO	1	12931
9	010101	JULIO MATOVELLE	1	8327
10	010101	MANUEL MARIA MUÑOZ CUEVA	1	8276
11	010101	MIGUEL MORENO ORDOÑEZ	2	13000,14218
12	010101	RAFAEL AGUILAR PESANTEZ	1	14086
13	010101	REPUBLICA DE ALEMANIA	1	8321
14	010101	SANTA MARIANA DE JESUS	1	15499
15	010102	AURELIO AGUILAR VASQUEZ	1	8289
16	010102	AURELIO AGUILAR VAZQUEZ	1	8097
17	010102	BENIGNO ASTUDILLO	1	8401
18	010102	CESAR DAVILA ANDRADE	2	12945,14212
19	010102	JULIO ABAD CHICA	1	8406
20	010102	MANUEL CORRAL JAUREGUI	1	12939
21	010102	RAYITO DE LUZ	1	15482
22	010102	RITA CHAVEZ DE MUÑOZ	1	14007
23	010102	ZOILA AURORA PALACIOS	2	8286,14008
24	010103	12 DE ABRIL	1	14094
25	010103	HERMANO MIGUEL	1	14095
26	010103	HERNAN MALO GONZALEZ	1	8109
27	010103	VICTOR MANUEL ALBORNOZ	1	14089
28	010104	13 DE ABRIL	1	14102
29	010104	ANDRES HURTADO DE MENDOZA	1	14101
30	010104	ANGELICA CORRAL	1	8196
31	010104	CARLOS CUEVA TAMARIZ	2	12980,12982
32	010104	CIUDAD DE CUENCA	2	8132,8306
33	010104	CORAZON DE MARIA	2	13164,14107
34	010104	DOLORES J. TORRES	1	8300
35	010104	EZEQUIEL CRESPO	1	8310
36	010104	GABRIEL CEVALLOS GARCIA	1	8312
37	010104	I.T.S. FRANCISCO FEBRES CORDERO	2	12977,14214
38	010104	JULIO MATOVELLE	1	14216
39	010104	LA INMACULADA	1	8224
40	010104	MARIA AUXILIADORA	2	13171,14059
41	010104	MIGUEL ANGEL ESTRELLA AREVALO	1	8303
42	010104	OTTO AROSEMENA GOMEZ	1	14093
43	010104	PIO XII	1	14226
44	010104	REMIGIO TAMARIZ CRESPO	1	14100
45	010104	ROSA DE JESUS CORDERO	1	13168
46	010104	SAGRADO CORAZON	1	14106
47	010104	SAN MIGUEL (OBLATAS)	1	8104
48	010105	CARLOS ARIZAGA VEGA	1	12996
49	010105	ESPAÑA	2	8079,8280
50	010105	JUAN MONTALVO	2	8092,8323
51	010105	LUIS CORDERO CRESPO	1	14006
52	010105	LUIS ROBERTO BRAVO	1	8318
53	010105	MANUEL J. CALLE	1	12985
54	010105	MARY CORYLE	1	8335
55	010105	REPUBLICA DE CHILE	1	8330
56	010105	REPUBLICA DE ISRAEL	2	12988,12995
57	010106	ALFONSO CORDERO PALACIOS	1	8362
58	010106	ARZOBISPO SERRANO	1	8388
59	010106	CENSTUDIOS	1	14241
60	010106	ELENA MOSCOSO TAMARIZ	1	14222
61	010106	HONORATO VAZQUEZ	2	8337,14009
62	010106	JESUS CORDERO DAVILA	1	14179
63	010106	JUAN PABLO II	1	14056
64	010106	MIGUEL CORDERO CRESPO	1	14219
65	010106	OCTAVIO CORDERO PALACIOS	2	13003,13008
66	010106	SAN FRANCISCO	1	13010
67	010106	SAN LUIS BELTRAN	1	13176
68	010106	SANTA MARIANA DE JESUS	2	8344,13174
69	010106	VICENTE ESCANDON	1	14058
70	010107	ALIANZA FRANCESA	1	14054
71	010107	ASUNCION	3	8377,14053,14239
72	010107	CARLOS ZAMBRANO OREJUELA	1	8122
73	010107	DANIEL CORDOVA TORAL	1	14238
74	010107	FE Y ALEGRIA	2	8201,8365
75	010107	GABRIELA MISTRAL	1	10348
76	010107	HERMANO MIGUEL	1	14224
77	010107	HUAYNA CAPAC	1	14011
78	010107	HUAYNA-CAPAC	1	8374
79	010107	LOS FRESNOS	1	14055
80	010107	REPUBLICA DE COLOMBIA	2	8119,14096
81	010107	SAN JOSE LA SALLE	1	8376
