id_seq	ubicacion	nombre_normalizado	codigo_escuela
1	040102	LEOPOLDO N CHAVEZ	1000
2	100102	CARLOS MANTILLA ORTEGA	1003
3	090101	JUAN FEDERICO HEINERT DR. # 47	1004
4	040102	JULIO MARTINEZ ACOSTA	1006
5	100102	AZAYA	1007
6	040102	GABRIELA MISTRAL	1008
7	090101	CENTRO ESCOLAR 9 DE OCTUBRE # 81	1009
8	170152	BENJAMIN CARRION	1010
9	090101	FILADELFIA # 68	1011
10	040102	JOSE JOAQUIN OLMEDO	1012
11	170121	EL NUEVO LUCIANO DE QUITO	1013
12	100101	AVELINA LASSO DE PLAZA	1014
13	170121	CARLOS BENJAMIN ROSALES	1015
14	090101	SANTA MARIANA DE JESUS # 102	1016
15	040101	LUIS ROSERO NAVARRETE	1017
16	100103	MARIA MONTESSORI	1018
17	170121	ISOLINA VITERI DE ARREGUI	1019
18	040102	CRISTO REY	1021
19	170121	REPUBLICA DE GUATEMALA	1022
20	090101	POLLITOS # 204	1023
21	100103	U.N.E.	1024
22	170121	CASA DE LA CULTURA ECUATORIANA	1026
23	090103	GONZALO LLONA # 45	1027
24	100103	PIEDAD GOMEZJURADO	1028
25	170301	TOMAS TADEU	1029
26	090103	CARLOS LUIS PLAZA DAÑIN # 58	1030
27	040101	SAGRADO CORAZON DE JESUS	1031
28	170122	GRAN BRETAÑA	1033
29	040101	FE Y ALEGRIA	1034
30	100104	DR. CAMILO GALLEGOS	1035
31	090103	SEMILLERO # 19	1036
32	040101	JOSE MARIA VELASCO IBARRA	1038
33	090103	LAURA VICUÑA # 11	1039
34	100105	LIDIA INES MOLINA	1040
35	090103	MARIA AUXILIADORA # 237	1041
36	040151	27 DE MARZO	1042
37	100103	ROSA MATILDE PALACIOS CASTELO	1044
38	090104	PERLA DEL PACIFICO # 13	1045
39	100104	ALBERTINA FRANCO DE LEORO	1046
40	040601	PRIMERO DE JUNIO	1047
41	100104	JORGE GUZMAN RUEDA	1049
42	090104	ISABEL RAMIREZ ESTRADA # 14	1050
43	170118	LUCINDA TOLEDO	1052
44	100104	RAFAEL SUAREZ MENESES	1053
45	040153	MARIA BORJA	1054
46	090104	HUMBERTO SALVADOR GUERRA # 19	1055
47	170120	MARIA ANGELICA CARRILLO	1056
48	100104	SEMILLITAS DE AMOR	1057
49	090104	HUAYNA CAPAC # 20	1058
50	170127	BANCO ECUATORIANO DE LA VIVIENDA	1059
51	040154	6 DE ABRIL	1060
52	090104	LEONARDO AULESTIA # 34	1061
53	090104	AGUSTIN VERA LOOR # 42	1064
54	100104	SANTA ROSA DEL TEJAR	1065
55	040157	LOS RIOS	1066
56	170120	CARLOTA JARAMILLO DE ARAUJO	1067
57	090104	LUIS VARGAS TORRES # 51	1068
58	040158	LUIS ALFREDO DAVILA	1069
59	100104	SIN NOMBRE (LA CAMPIÑA)	1071
60	040153	MARIA AUXILIADORA SALESIANAS	1072
61	170120	ERNESTO ALBAN MOSQUERA	1073
62	100151	CALIXTO MIRANDA	1074
